Receiver ID,Block Date,Block Heights not present in Index Files,Block Heights not present in Databricks
icyrepulsion7257336590.u.arkana.near,2024-03-21,115150332,115150332
idealisticbuffet2358305011.u.arkana.near,2024-03-21,115172361,115172361
idlehemline4320177665.u.arkana.near,2024-03-21,115170039,115170039
illicitbattering8942133800.u.arkana.near,2024-03-21,115184537,115184537
immaculatewayfarer202850410.u.arkana.near,2024-03-21,115155886,115155886
imposingsabra6768296471.u.arkana.near,2024-03-21,115167342,115167342
impassablewalkway2570341250.u.arkana.near,2024-03-21,115170126,115170126
inappropriaterun-up1376296290.u.arkana.near,2024-03-21,115160887,115160887
ihkar-cosmos.near,2024-03-21,115175388,115175388
impurestupor1731203661.u.arkana.near,2024-03-21,115159724,115159724
impropermurderer3887202887.u.arkana.near,2024-03-21,115177049,115177049
incomingemigre86733683.u.arkana.near,2024-03-21,115161281,115161281
inconclusivearrival2638.u.arkana.near,2024-03-21,115157159,115157159
inconspicuousintoxication4574309838.u.arkana.near,2024-03-21,115168990,115168990
inconsistentvet3310359268.u.arkana.near,2024-03-21,115166281,115166281
incrediblehamster196532153.u.arkana.near,2024-03-21,"115162735,115163924,115174367","115162735,115163924,115174367"
independentvampire595115482.u.arkana.near,2024-03-21,"115161665,115167142,115167678","115161665,115167142,115167678"
indestructibletomboy1472287105.u.arkana.near,2024-03-21,"115151952,115152942","115151952,115152942"
indebtedinitiative2415359205.u.arkana.near,2024-03-21,115162059,115162059
indeterminatevapor5978107052.u.arkana.near,2024-03-21,115164607,115164607
indomitablepungency3089263149.u.arkana.near,2024-03-21,115166474,115166474
indigenousopportunist2472314404.u.arkana.near,2024-03-21,115156229,115156229
indoorpanel7863127607.u.arkana.near,2024-03-21,115174560,115174560
inferiorpoint-of-view4662358255.u.arkana.near,2024-03-21,115154963,115154963
inexperiencedkeel456257027.u.arkana.near,2024-03-21,115159788,115159788
ineffabledustpan4558318172.u.arkana.near,2024-03-21,115151929,115151929
inflationarydictionary642450980.u.arkana.near,2024-03-21,115156157,115156157
informalgroan782271408.u.arkana.near,2024-03-21,115166707,115166707
infinitehaunting5003357572.u.arkana.near,2024-03-21,115170642,115170642
infraredbushel533341572.u.arkana.near,2024-03-21,115152724,115152724
inlaidstout7575317311.u.arkana.near,2024-03-21,115162782,115162782
informeddiminutive5759118062.u.arkana.near,2024-03-21,115163675,115163675
insolublelongshoreman6516346817.u.arkana.near,2024-03-21,115183577,115183577
insignificantpreamble6641310650.u.arkana.near,2024-03-21,115158763,115158763
institutionalrunner8357186837.u.arkana.near,2024-03-21,115172929,115172929
instantaneousrut8692302239.u.arkana.near,2024-03-21,"115176945,115177045","115176945,115177045"
inscrutableworkplace6810359143.u.arkana.near,2024-03-21,115158583,115158583
inventivecanyon5643317473.u.arkana.near,2024-03-21,115152857,115152857
introductorycommandant8875347696.u.arkana.near,2024-03-21,115171142,115171142
invalidloin1932199060.u.arkana.near,2024-03-21,"115150472,115163193","115150472,115163193"
invinciblephobia4796345760.u.arkana.near,2024-03-21,115172920,115172920
isamael-almeida.near,2024-03-21,"115160862,115160883","115160862,115160883"
irritatedtram1427268022.u.arkana.near,2024-03-21,115159055,115159055
invisibleair2507360083.u.arkana.near,2024-03-21,115184774,115184774
itinerantstationmaster5379.u.arkana.near,2024-03-21,115175786,115175786
jhildebrand.near,2024-03-21,"115172628,115172643,115172654,115172672,115172711,115172723,115172734","115172628,115172643,115172654,115172672,115172711,115172723,115172734"
joyfulhomosexual6291327276.u.arkana.near,2024-03-21,115161627,115161627
johanna-mu1992.near,2024-03-21,"115173489,115173502,115173611,115173625,115173638","115173489,115173502,115173611,115173625,115173638"
joyousstriker2564303464.u.arkana.near,2024-03-21,115168542,115168542
justabstention8898122809.u.arkana.near,2024-03-21,115151189,115151189
leveragedfang818824037.u.arkana.near,2024-03-21,115180420,115180420
jxnis.near,2024-03-21,115174621,115174621
kekoferi.near,2024-03-21,"115155400,115155434,115155448,115155467,115155477,115155765,115155778,115155786,115155801,115155806","115155400,115155434,115155448,115155467,115155477,115155765,115155778,115155786,115155801,115155806"
kassemhodroj.near,2024-03-21,"115172309,115172368,115172379,115172429,115172443,115172454,115172474,115172482,115172502,115172585,115172598,115172609,115172663,115172695","115172309,115172368,115172379,115172429,115172443,115172454,115172474,115172482,115172502,115172585,115172598,115172609,115172663,115172695"
limpcriminal1549338282.u.arkana.near,2024-03-21,115176378,115176378
lighttrestle100453000.u.arkana.near,2024-03-21,115165903,115165903
lingeringhandler5054278145.u.arkana.near,2024-03-21,115151965,115151965
liberatedmuskrat8063341571.u.arkana.near,2024-03-21,115158400,115158400
loathshark2726321772.u.arkana.near,2024-03-21,115165330,115165330
long-timeshank3228353245.u.arkana.near,2024-03-21,115169215,115169215
losingnotation716535660.u.arkana.near,2024-03-21,115179112,115179112
listedabsentee6923359271.u.arkana.near,2024-03-21,115166736,115166736
low-keyjock503886138.u.arkana.near,2024-03-21,115167161,115167161
luminousadversary2439287228.u.arkana.near,2024-03-21,115177390,115177390
luxurydishtowel4902164115.u.arkana.near,2024-03-21,115179313,115179313
manifoldportal8334310147.u.arkana.near,2024-03-21,115165971,115165971
machine-gundoorkeeper20414082.u.arkana.near,2024-03-21,115182184,115182184
marvellousdwarf1240258908.u.arkana.near,2024-03-21,115150781,115150781
massiveinspection838992459.u.arkana.near,2024-03-21,115165431,115165431
merryclassic6146283200.u.arkana.near,2024-03-21,115182460,115182460
middleoutboard3940177920.u.arkana.near,2024-03-21,115184514,115184514
migratorydemonstrator4118329077.u.arkana.near,2024-03-21,115156155,115156155
military-industrialbedstead463940707.u.arkana.near,2024-03-21,115154435,115154435
missingember8926132983.u.arkana.near,2024-03-21,115158553,115158553
misguidednursery2092321879.u.arkana.near,2024-03-21,115151919,115151919
mindfultibia7488359289.u.arkana.near,2024-03-21,115167384,115167384
mockfailure6468322144.u.arkana.near,2024-03-21,115179772,115179772
moonlitmodifier6546343014.u.arkana.near,2024-03-21,115162823,115162823
motivatedflash1368332899.u.arkana.near,2024-03-21,115161193,115161193
monogamoussport7101359845.u.arkana.near,2024-03-21,115177723,115177723
mukhammadkhabiburrokhman.near,2024-03-21,115170967,115170967
mukeshkaraka.near,2024-03-21,"115137233,115137340","115137233,115137340"
murderouscompliment1222333993.u.arkana.near,2024-03-21,115184426,115184426
opposingmime1722194919.u.arkana.near,2024-03-21,115166489,115166489
normalprincipal378039145.u.arkana.near,2024-03-21,"115157341,115183328","115157341,115183328"
muscularcollaborator2510357038.u.arkana.near,2024-03-21,115177227,115177227
neardifference6265297146.u.arkana.near,2024-03-21,115152085,115152085
northerngrace853978529.u.arkana.near,2024-03-21,115151226,115151226
noticeableyellow540920548.u.arkana.near,2024-03-21,"115154866,115164288","115154866,115164288"
nutritiouscreel1870274145.u.arkana.near,2024-03-21,115177300,115177300
oldstreetcar8606339572.u.arkana.near,2024-03-21,115153487,115153487
outwardgravestone7837124697.u.arkana.near,2024-03-21,115170809,115170809
panickyrevisionist6642326890.u.arkana.near,2024-03-21,115181412,115181412
optimumdarling5337181766.u.arkana.near,2024-03-21,115153687,115153687
ostentatiousphony520161723.u.arkana.near,2024-03-21,115174964,115174964
payingtugboat5740262402.u.arkana.near,2024-03-21,"115154698,115154757","115154698,115154757"
penetratingbeefsteak478286923.u.arkana.near,2024-03-21,115163515,115163515
perceivedstove3462336619.u.arkana.near,2024-03-21,115151483,115151483
phenomenalsofa1528119089.u.arkana.near,2024-03-21,115180456,115180456
perplexingpuppeteer6782340565.u.arkana.near,2024-03-21,115170869,115170869
perversepup117380690.u.arkana.near,2024-03-21,115179451,115179451
pleasingevergreen7342302621.u.arkana.near,2024-03-21,115163540,115163540
post-warjogger727056220.u.arkana.near,2024-03-21,115154997,115154997
pouringsetter257431468.u.arkana.near,2024-03-21,115167700,115167700
precedingterminology326832515.u.arkana.near,2024-03-21,115182706,115182706
philosophicalthoroughbred6911350308.u.arkana.near,2024-03-21,115154020,115154020
practicedmullah2359280645.u.arkana.near,2024-03-21,115178343,115178343
presentmaiden2004332514.u.arkana.near,2024-03-21,115157686,115157686
prewartorch6834100087.u.arkana.near,2024-03-21,115177334,115177334
priorextortion5222356926.u.arkana.near,2024-03-21,115165510,115165510
presidingjimmy576464313.u.arkana.near,2024-03-21,115167390,115167390
prodigiousberth5011140385.u.arkana.near,2024-03-21,115163151,115163151
proposedconstruct2322342342.u.arkana.near,2024-03-21,115180745,115180745
prosperousorbit2048293502.u.arkana.near,2024-03-21,115152430,115152430
publicizedyeshiva4568303113.u.arkana.near,2024-03-21,115170581,115170581
publicbetrayer359420836.u.arkana.near,2024-03-21,115169725,115169725
punitivecontra5700206285.u.arkana.near,2024-03-21,115176691,115176691
recurrentexport4520100339.u.arkana.near,2024-03-21,115186079,115186079
